,id,organization_id,url,age,gender,size,coat,tags,name,organization_animal_id,status,status_changed_at,published_at,delta_time,primary_breed,secondary_breed,is_mixed,is_unknown,compatible_children,compatible_dogs,compatible_cats,spayed_neutered,house_trained,special_needs,shots_current,primary_color,secondary_color,tertiary_color
3781,59274154,TX1779,https://www.petfinder.com/dog/conner-the-doxie-beagle-pup-59274154/wi/muskego/texas-rescue-riders-inc-tx1779/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Small,Medium,[],Conner the Doxie/Beagle Pup,,adopted,2023-04-12 00:08:38+00:00,2022-12-28 01:55:30+00:00,104 days 22:13:08,Dachshund,Beagle,True,False,True,True,True,False,True,False,True,Brown / Chocolate,,
3782,59274151,PA992,https://www.petfinder.com/dog/rapid-59274151/pa/kutztown/brindle-buddies-and-friends-pa992/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,Short,"['Friendly', 'Affectionate', 'Loyal', 'Gentle', 'Playful', 'Smart', 'Dignified', 'Athletic', 'Curious', 'Couch potato']",Rapid,,adopted,2023-03-06 15:17:55+00:00,2022-12-28 01:55:18+00:00,68 days 13:22:37,Shepherd,,True,False,,True,,True,True,False,True,Golden,Brown / Chocolate,Yellow / Tan / Blond / Fawn
3783,59274150,WA470,https://www.petfinder.com/dog/autumn-59274150/wa/puyallup/sunny-skys-animal-rescue-wa470/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Adult,Female,Small,Short,"['Friendly', 'Affectionate', 'Playful', 'Smart', 'Curious', 'Funny']",Autumn,,adopted,2023-01-14 20:36:55+00:00,2022-12-28 01:54:50+00:00,17 days 18:42:05,Chihuahua,,True,False,False,True,,True,False,False,True,Golden,,
3784,59274098,OH743,https://www.petfinder.com/dog/debbie-59274098/oh/liberty-center/heritage-farms-rescue-oh743/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Large,Wire,"['Friendly', 'Affectionate', 'Loyal', 'Gentle', 'Playful', 'Smart', 'Curious', 'Athletic', 'Loves kisses']",Debbie,,adopted,2022-12-31 19:16:52+00:00,2022-12-28 01:52:32+00:00,3 days 17:24:20,German Wirehaired Pointer,,False,False,True,True,True,True,False,False,True,Brown / Chocolate,White / Cream,
3785,59274096,MA195,https://www.petfinder.com/dog/winnie-no-longer-taking-applications-59274096/ma/marion/new-england-brittany-rescue-inc-ma195/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Female,Small,Medium,"['Friendly', 'Affectionate', 'Playful', 'Loves kisses', 'Smart']",Winnie--NO LONGER TAKING APPLICATIONS,,adopted,2023-01-13 14:36:39+00:00,2022-12-28 01:52:23+00:00,16 days 12:44:16,Spaniel,,True,False,True,True,True,True,True,False,True,Black,White / Cream,
3786,59274044,PA992,https://www.petfinder.com/dog/blondie-59274044/pa/kutztown/brindle-buddies-and-friends-pa992/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Female,Large,Short,"['Friendly', 'Affectionate', 'Loyal', 'Gentle', 'Playful', 'Smart', 'Athletic', 'Funny', 'Curious', 'Brave', 'Loves kisses', 'Independent']",Blondie,,adopted,2023-01-06 17:14:44+00:00,2022-12-28 01:50:20+00:00,9 days 15:24:24,Yellow Labrador Retriever,,True,False,True,True,,True,True,False,True,Yellow / Tan / Blond / Fawn,White / Cream,
3787,59274043,TX2621,https://www.petfinder.com/dog/george-59274043/tx/san-marcos/friends-of-dogs-corp-tx2621/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Small,Short,"['Friendly', 'Affectionate', 'Loves kisses']",George ,FODS-A-97,adopted,2023-01-04 16:03:45+00:00,2022-12-28 01:50:16+00:00,7 days 14:13:29,Chihuahua,,False,False,True,True,,False,True,False,True,Yellow / Tan / Blond / Fawn,,
3788,59274041,TX1779,https://www.petfinder.com/dog/skyler-the-doxie-beagle-puppy-59274041/wi/muskego/texas-rescue-riders-inc-tx1779/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Small,Short,"['Friendly', 'Playful', 'Smart']",Skyler the Doxie Beagle Puppy,,adopted,2023-04-12 00:08:41+00:00,2022-12-28 01:49:28+00:00,104 days 22:19:13,Dachshund,Beagle,True,False,True,True,True,False,False,False,True,Black,Yellow / Tan / Blond / Fawn,
3789,59274039,TX2621,https://www.petfinder.com/dog/george-59274039/tx/schertz/friends-of-dogs-corp-tx2621/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Small,Short,"['Friendly', 'Affectionate', 'Loves kisses']",George ,FODS-A-97,adopted,2023-01-04 16:03:45+00:00,2022-12-28 01:49:12+00:00,7 days 14:14:33,Chihuahua,,False,False,True,True,,False,True,False,True,Yellow / Tan / Blond / Fawn,,
3790,59274038,TX2621,https://www.petfinder.com/dog/george-59274038/tx/san-antonio/friends-of-dogs-corp-tx2621/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Small,Short,"['Friendly', 'Affectionate', 'Loves kisses']",George ,FODS-A-97,adopted,2023-01-04 16:03:45+00:00,2022-12-28 01:48:35+00:00,7 days 14:15:10,Chihuahua,,False,False,True,True,,False,True,False,True,Yellow / Tan / Blond / Fawn,,
3791,59274033,PA992,https://www.petfinder.com/dog/gumbo-chipmunk-59274033/pa/kutztown/brindle-buddies-and-friends-pa992/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Male,Medium,Short,"['Friendly', 'Brave', 'Couch potato', 'Loves kisses', 'Curious', 'Independent', 'Affectionate', 'Loyal', 'Playful', 'Gentle', 'Funny', 'Athletic', 'Smart', 'Dignified']",Gumbo/Chipmunk,,adopted,2023-01-06 17:14:50+00:00,2022-12-28 01:47:54+00:00,9 days 15:26:56,Terrier,,True,False,True,True,True,True,True,False,True,,,
3792,59274032,TX2621,https://www.petfinder.com/dog/george-59274032/tx/seguin/friends-of-dogs-corp-tx2621/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Small,Short,"['Friendly', 'Affectionate', 'Loves kisses', 'Playful']",George ,FODS-A-97,adopted,2023-01-04 16:03:45+00:00,2022-12-28 01:47:27+00:00,7 days 14:16:18,Chihuahua,,False,False,True,True,,False,True,False,True,Yellow / Tan / Blond / Fawn,,
